has_insurance,age_group,gender,has_dependent,income,family_history,disease,진료비 총합,급여부분 총합,공단 부담금(급여),민영의료보험 보장금(급여 + 비급여),입원시 급여,입원시 비급여,평균 통원 일일 비용,통원비,본인부담금 총합,급여부분 본인부담 총합,급여부분 본인부담 입원 총합,급여부분 본인부담 통원 총합,비급여부분 본인부담 총합,비급여부분 본인부담 입원 총합,비급여부분본인부담 통원 총합,보험금 수령후 본인부담금,보건의료용 건강기능식품 교통비 가족간병비,생애주기 사망확률,가족력(부모),가족력(형제자매),가족력(전체),가족력 및 건강상태 반영한 질병보장 적정 구성비,일반병원 치료일수,입원치료일수,통원치료일수,요양 치료일수,개인소득 부양가족 무,가구소득 부양가족 유,국민건강보험 민영의료보험 적용 안되는 본인 부담 치료비,일반병원 치료기간생활비,요양병원 치료기간생활비,진단비 필요금액,보건분야 소비자물가지수,생활비 상승률,보건 물가 상승률 반영 진단비 필요금액,,생애주기중 진단비 최고값,,세대주 생활비,월보험료,납기,갱신/비갱신,적정 월납보험료,,월급대비 건강보험료 장기요양보험료,"DB손보기준 
15세 
20세 
30세 
40세 
50세 
60세",users_reg,min_coverage,avg_coverage,max_coverage,mdn_coverage
1,40,2,1,,,6,3721952,2463932,2193413,1377229,132203,546484,214936,698542,1528539,270519,146892,123627,1258020,683105,574915,151310,286000,13.18,19.77,19.77,19.77,2,5,2,3,,,,437310,420000,12736080,13593390,536138,26290417,26826555,6826555,,,37211297,,20,비갱신,,,,,185853,0,20513449.33,888888000,20000000
1,40,2,1,,,7,957582,633919,496474,418495,67169,140599,108065,210726,461108,137445,74633,62812,323663,175749,147914,42613,286000,13.18,19.77,19.77,19.77,2,3,1,2,,,,328613,252000,,580613,402876,503584,906460,-9093540,,,36760516,,20,비갱신,,,,,57676,100000,11219645.52,60000000,10000000
1,50,1,1,,,1,11052550,7316788,6722116,3892439,290616,1622815,17910,1979008,4330434,594672,322907,271765,3735762,2028519,1707243,437994,286000,26.73,66.83,66.83,93.56,1,170,60,111,,4080000,7292000,723994,23120000,20620320,44464314,834831,69913700,70748531,50748531,,,67411774,,20/15,비갱신/갱신,326400,583360,근로자,20571,85206,0,22253242.06,499759000,20000000
1,50,1,1,,,2,1377748,912069,747897,570363,80231,202291,110708,287842,629851,164172,89145,75027,465679,252864,212815,59487,286000,0.00,0.00,0.00,0.00,-,4,1,3,,일변환,50대 가구주,345487,544000,,889487,398378,869519,1267897,-2732103,,,37901237,,20/15,비갱신/갱신,,,142990,,34100,0,4180335.029,50000000,4000000
1,50,1,1,,,3,10472755,6932964,5676452,4343653,614057,1537685,82248,2191911,4796303,1256512,682286,574226,3539791,1922107,1617685,452650,286000,7.17,9.27,11.26,11.26,3,41,14,27,,136000,가구원수,738650,5576000,20620320,26934970,851730,41871702,42723432,22723432,,,44787683,,20/15,비갱신/갱신,,,사업주,,48993,0,19148246.77,170000000,20000000
1,50,1,1,,,4,2563085,1696762,1294564,1152599,196554,376331,74322,579714,1268521,402198,218394,183804,866323,470413,395909,115922,286000,7.17,9.27,11.26,11.26,3,12,4,8,,,4,401922,1632000,20620320,22654242,463452,35567687,36031140,26031140,,,39361625,,20/15,비갱신/갱신,,,142990,,53160,10000,16786850.81,499759000,10000000
1,50,1,1,,,5,1820879,1205422,903709,833948,147447,267355,40303,419147,917170,301713,163830,137883,615457,334193,281264,83222,286000,7.17,9.27,11.26,11.26,3,16,6,10,,,일변환,369222,2176000,20620320,23165542,425746,36437207,36862952,26862952,,,40030901,,20/15,비갱신/갱신,,,,,11448,100000,9551033.583,100000000,10000000
1,50,1,1,,,6,4244603,2809927,2531824,1541872,135909,623223,150527,782740,1712779,278103,151010,127093,1434676,779029,655647,170907,286000,10.31,15.47,15.47,15.47,2,8,3,5,,,243067,456907,1088000,20620320,22165227,526855,34698168,35225023,15225023,,,38714633,,20/15,비갱신/갱신,,,,,75139,0,18990835.05,499759000,20000000
1,50,1,1,,,7,1316319,871403,730429,529917,68894,193271,102981,267752,585890,140974,76549,64425,444916,241589,203326,55973,286000,10.31,15.47,15.47,15.47,2,4,1,3,,,,341973,544000,,885973,394325,869519,1263845,-4736155,,,37897722,,20/15,비갱신/갱신,,,,,10031,100000,9143293.194,60000000,6000000
1,50,2,1,,,1,7126515,4717753,4268972,2571583,219319,1046366,8513,1305897,2857543,448781,243688,205093,2408762,1307958,1100804,285960,286000,15.49,38.73,38.73,54.22,1,236,83,153,,2080000,,571960,16362667,10512320,27446947,674532,46552737,47227269,27227269,,,78842355,,20/15,비갱신/갱신,,,근로자,20571,97120,0,23981246.19,734693000,20000000
1,50,2,1,,,2,1119677,741226,607806,463526,65202,164399,71977,233925,511871,133420,72447,60973,378451,205499,172952,48344,286000,0.00,0.00,0.00,0.00,-,5,2,3,,일변환,,334344,346667,,681011,394304,600495,994798,-3005202,,,38065588,,20/15,비갱신/갱신,,,72890,,49609,0,4333893.666,50000000,4000000
